ID,User Story,Output
362,"Rename ""Simple"" Page to ""Smart"" Page","Gherkin:
Feature: Rename Page

Scenario: Rename ""Simple"" Page to ""Smart"" Page
Given the user is on the V2 Index List
When the user navigates to ""Add a Page""
Then the page title should be updated to ""Smart Page""

Python:
from behave import given, when, then

@given('the user is on the V2 Index List')
def step_impl(context):
    pass

@when('the user navigates to ""Add a Page""')
def step_impl(context):
    pass

@then('the page title should be updated to ""Smart Page""')
def step_impl(context):
    pass"
74,"As a User, I want MCP Setting for Kanban Sort Options Updates","Gherkin:
Feature: MCP Setting for Kanban Sort Options

Scenario: Add Kanban Sort Options setting under Development Use Only
Given the user is on the settings page
When the user navigates to the Development Use Only section
And adds the Kanban Sort Options setting under Databases - Single User Record Edit Restriction
Then the setting should be visible in the Development Use Only section

Python:
from behave import given, when, then

@given('the user is on the settings page')
def step_impl(context):
    pass

@when('the user navigates to the Development Use Only section')
def step_impl(context):
    pass

@when('adds the Kanban Sort Options setting under Databases - Single User Record Edit Restriction')
def step_impl(context):
    pass

@then('the setting should be visible in the Development Use Only section')
def step_impl(context):
    pass"
375,MCP setting for new Grouped Approval types,"Gherkin:
Feature: MCP Setting for Grouped Approval Types

Scenario: Verify new MCP setting for Grouped Approvals
Given the user is on the MCP settings page
When the user navigates to the ""Development Use Only"" section
Then the setting ""Approvals - Approvals List (V3) - Grouped Approvals - Record File & Resource Publish (development use only)"" should be listed

Python:
from behave import given, when, then

@given('the user is on the MCP settings page')
def step_impl(context):
    pass

@when('the user navigates to the ""Development Use Only"" section')
def step_impl(context):
    pass

@then('the setting ""Approvals - Approvals List (V3) - Grouped Approvals - Record File & Resource Publish (development use only)"" should be listed')
def step_impl(context):
    pass"
156,"As a User, I want to set up Session Based Digest Email in My Account Alerts (Markup) for Comment Status Updates, Edited Comments, Deleted Comments, and New Revisions","Gherkin:
Feature: Session Based Digest Email Setup

Scenario: Set up session based digest email for comment updates
Given the user is on the My Account Alerts (Markup) page
When the user selects ""Session"" from the Digest Frequency drop-down menu
And enables alerts for ""Updates to Comment status""
And enables alerts for ""Edited Comments""
Then the session based digest email should be configured successfully

Python:
from behave import given, when, then

@given('the user is on the My Account Alerts (Markup) page')
def step_impl(context):
    pass

@when('the user selects ""Session"" from the Digest Frequency drop-down menu')
def step_impl(context):
    pass

@when('enables alerts for ""Updates to Comment status""')
def step_impl(context):
    pass

@when('enables alerts for ""Edited Comments""')
def step_impl(context):
    pass

@then('the session based digest email should be configured successfully')
def step_impl(context):
    pass"
105,"As a User, I should not see the Page Category dropdown when viewing Pages if none of them are assigned to Category","Gherkin:
Feature: Page Category Visibility

Scenario: No Page Category dropdown when no pages are assigned to a category
Given the user is viewing a page
And all pages are not associated with any category
When the user checks the page interface
Then the Page Category dropdown should not be visible

Python:
from behave import given, when, then

@given('the user is viewing a page')
def step_impl(context):
    pass

@given('all pages are not associated with any category')
def step_impl(context):
    pass

@when('the user checks the page interface')
def step_impl(context):
    pass

@then('the Page Category dropdown should not be visible')
def step_impl(context):
    pass"
395,"PB - As a User, I want to configure permissions of sub-pages in Admin -> Group","Gherkin:
Feature: Configure Permissions

Scenario: Configure sub-page permissions
Given the user is on the Admin Group Permission page
When the user views the parent page ""Resources""
And configures permissions for the sub-page ""Sub-Resources""
Then the permissions should be updated in line with the design

Scenario: Trigger permission propagation
Given the user is on the Admin Group Permission page
When the user triggers propagation for the parent page ""Resources""
Then the permissions should propagate to all sub-pages

Python:
from behave import given, when, then

@given('the user is on the Admin Group Permission page')
def step_impl(context):
    pass

@when('the user views the parent page ""{parent_page}""')
def step_impl(context, parent_page):
    pass

@when('configures permissions for the sub-page ""{sub_page}""')
def step_impl(context, sub_page):
    pass

@then('the permissions should be updated in line with the design')
def step_impl(context):
    pass

@when('the user triggers propagation for the parent page ""{parent_page}""')
def step_impl(context, parent_page):
    pass

@then('the permissions should propagate to all sub-pages')
def step_impl(context):
    pass"
378,"PB - As a User, I want the status of  Resource added via Resource Lookup to be linked with Resource module - unsupported resource type scenario","Gherkin:
Feature: Resource Linking

Scenario: Link unsupported resource type
Given the user is on the Resource Lookup page
When the user adds an unsupported resource type
Then the resource should not be linked to the Resource module

Python:
from behave import given, when, then

@given('the user is on the Resource Lookup page')
def step_impl(context):
    pass

@when('the user adds an unsupported resource type')
def step_impl(context):
    pass

@then('the resource should not be linked to the Resource module')
def step_impl(context):
    pass"
125,"As a config user, I want to see/enable a new Setting in Admin > Template for Workflows for Collaborators in Approvals [Resource Feedback]","Gherkin:
Feature: Admin Settings for Resource Feedback

Scenario: Enable MCP setting for Resource Feedback Workflow Templates
Given the user is on the Admin > Template settings page
When the user enables the MCP setting
Then the new setting should display for Resource Feedback Workflow Templates
And this should apply to both existing and new templates

Python:
from behave import given, when, then

@given('the user is on the Admin > Template settings page')
def step_impl(context):
    pass

@when('the user enables the MCP setting')
def step_impl(context):
    pass

@then('the new setting should display for Resource Feedback Workflow Templates')
def step_impl(context):
    pass

@then('this should apply to both existing and new templates')
def step_impl(context):
    pass"
69,"As a User, I want to update UI & logic around selecting Jobs in Info Preview panel for preview + closing them to return to Resource preview","Gherkin:
Feature: Job Preview Selection

Scenario: Update UI & logic for selecting and closing Job Previews
Given the user is on the Info Preview panel
When the user selects a Job
Then the Job Preview should be displayed

Scenario: Re-click to switch back to Resource Preview
Given the Job Preview is displayed
When the user re-clicks the selected Job
Then the Resource Preview should be displayed

Scenario: Close Job Preview to return to Resource Preview
Given the Job Preview is displayed
When the user closes the Job Preview
Then the Resource Preview should be displayed

Python:
from behave import given, when, then

@given('the user is on the Info Preview panel')
def step_impl(context):
    pass

@when('the user selects a Job')
def step_impl(context):
    pass

@then('the Job Preview should be displayed')
def step_impl(context):
    pass

@given('the Job Preview is displayed')
def step_impl(context):
    pass

@when('the user re-clicks the selected Job')
def step_impl(context):
    pass

@then('the Resource Preview should be displayed')
def step_impl(context):
    pass

@when('the user closes the Job Preview')
def step_impl(context):
    pass"
451,As a user I want to click 'Review Request' action in action dropdown in footer to open Bulk Approve Page (action redirect),"Gherkin:
Feature: Bulk Review Request

Scenario: Open Bulk Review Request page from action dropdown
Given the user is on a page with an action dropdown in the footer
When the user clicks 'Review Request' in the action dropdown
Then the Bulk Review Request page should open

Python:
from behave import given, when, then

@given('the user is on a page with an action dropdown in the footer')
def step_impl(context):
    pass

@when('the user clicks ""Review Request"" in the action dropdown')
def step_impl(context):
    pass

@then('the Bulk Review Request page should open')
def step_impl(context):
    pass"
10,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Edit screen so that I can preview what the animation like before I Edit or upload a new version","Gherkin:
Feature: Animation Preview

Scenario: Preview GIF or Lottie File converted MP4 on Edit screen
Given the user is on the Edit/New Version screen
When the user uploads a GIF or Lottie File
Then the preview should display the converted MP4
And the controls should be hidden
And the MP4 should autoplay

Python:
from behave import given, when, then

@given('the user is on the Edit/New Version screen')
def step_impl(context):
    pass

@when('the user uploads a GIF or Lottie File')
def step_impl(context):
    pass

@then('the preview should display the converted MP4')
def step_impl(context):
    pass

@then('the controls should be hidden')
def step_impl(context):
    pass

@then('the MP4 should autoplay')
def step_impl(context):
    pass"
195,"PB - As an Internal User, I want to have MCP(development use only) settings to enable/disable features per Epic for Drag & Drop Page MVP ","Gherkin:
Feature: MCP Settings Management

Scenario: Enable/Disable MCP settings for Drag & Drop Page MVP
Given the user is on the MCP settings page
When the user enables the setting ""Smart Page: Widgets combining Block""
And enables the setting ""Smart Page: Image Resizing""
And enables the setting ""Smart Pages - Page Templates (development use only)""
And enables the setting ""Smart Page: Page Grouping""
Then the settings should be enabled under Development Use only

Python:
from behave import given, when, then

@given('the user is on the MCP settings page')
def step_impl(context):
    pass

@when('the user enables the setting ""{setting_name}""')
def step_impl(context, setting_name):
    pass

@then('the settings should be enabled under Development Use only')
def step_impl(context):
    pass"
